,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,Popularity,MSRP,Avg Mileage
77,Chrysler,200,2016,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,24490,29.5
78,Chrysler,200,2017,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,29905,23.0
79,Chrysler,200,2017,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,31785,23.0
80,Chrysler,200,2017,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,26685,29.5
81,Chrysler,200,2017,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,22490,29.5
82,Chrysler,200,2017,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,25690,29.5
83,Chrysler,200,2017,flex-fuel ,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,1013,30900,23.0
84,Chrysler,200,2017,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,27795,29.5
85,Chrysler,200,2017,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,21995,29.5
86,Chrysler,200,2017,flex-fuel ,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,1013,24490,29.5
87,Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,31.0
88,Nissan,200SX,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,31.0
89,Nissan,200SX,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,25.0
90,Nissan,200SX,1997,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,25.0
91,Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,30.0
92,Nissan,200SX,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,30.0
93,Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,30.0
94,Nissan,200SX,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2000,30.0
95,Nissan,200SX,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,Coupe,2009,2073,24.0
96,Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,3713,22.5
97,Nissan,240SX,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,3520,22.5
98,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,3910,22.5
99,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,4182,22.5
100,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,4107,22.5
101,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,4299,22.5
102,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,4693,22.5
103,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,Coupe,2009,4107,22.5
104,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,870,2000,22.5
105,Volvo,240,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,870,2000,20.5
106,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,870,2000,22.5
107,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,870,2000,22.5
108,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,870,2000,22.5
109,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,870,2000,22.5
110,Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Sedan,870,2000,22.5
111,Volvo,240,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,Wagon,870,2000,21.5
112,Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,586,16020,32.0
113,Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,586,14530,32.0
114,Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,586,16860,31.0
115,Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,586,15370,31.0
116,Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,586,17050,31.0
117,Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,586,15560,31.0
118,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,586,16210,32.0
119,Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,586,14720,32.0
120,Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,586,17050,31.0
121,Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,586,15560,31.0
122,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,586,16210,32.0
123,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,586,14720,32.0
124,BMW,3 Series Gran Turismo,2015,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,47250,25.0
125,BMW,3 Series Gran Turismo,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,41850,27.5
126,BMW,3 Series Gran Turismo,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,41850,27.5
127,BMW,3 Series Gran Turismo,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,43000,28.0
128,BMW,3 Series Gran Turismo,2016,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,49200,25.0
129,BMW,3 Series Gran Turismo,2017,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,49650,25.0
130,BMW,3 Series Gran Turismo,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,3916,43950,28.0
131,BMW,3 Series,2015,premium unleaded ,241,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3916,41950,27.5
132,BMW,3 Series,2015,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,50150,29.0
133,BMW,3 Series,2015,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,37500,29.0
134,BMW,3 Series,2015,premium unleaded ,300,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,43750,26.5
135,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,39000,38.5
136,BMW,3 Series,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,39500,27.5
137,BMW,3 Series,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,39500,27.5
138,BMW,3 Series,2015,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,34950,29.0
139,BMW,3 Series,2015,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,45750,25.0
140,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3916,43450,37.0
141,BMW,3 Series,2015,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,37500,29.0
142,BMW,3 Series,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,41000,37.0
143,BMW,3 Series,2015,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,32950,30.0
144,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,41850,35.0
145,BMW,3 Series,2016,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,47800,27.5
146,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,39850,37.0
147,BMW,3 Series,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,38350,28.0
148,BMW,3 Series,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,40350,28.0
149,BMW,3 Series,2016,premium unleaded ,240,4,MANUAL,rear wheel drive,4,Midsize,Sedan,3916,38350,28.0
150,BMW,3 Series,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3916,42650,28.0
151,BMW,3 Series,2016,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,33150,30.0
152,BMW,3 Series,2016,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,35150,29.0
153,BMW,3 Series,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3916,44150,35.0
154,BMW,3 Series,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,45800,27.5
155,BMW,3 Series,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,38750,28.5
156,BMW,3 Series,2017,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,35450,28.5
157,BMW,3 Series,2017,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,33450,29.0
158,BMW,3 Series,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,40750,28.0
159,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,42250,35.0
160,BMW,3 Series,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3916,42950,28.0
161,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,40250,37.0
162,BMW,3 Series,2017,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,3916,49900,26.0
163,BMW,3 Series,2017,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,3916,47900,26.5
164,BMW,3 Series,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,3916,44450,35.0
165,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,617,2232,17.0
166,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,617,2000,17.5
167,Mercedes-Benz,300-Class,1991,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2000,19.5
168,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,617,2105,17.5
169,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,617,2199,16.5
170,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2000,19.0
171,Mercedes-Benz,300-Class,1991,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,617,2124,17.0
172,Mercedes-Benz,300-Class,1991,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,617,3552,17.5
173,Mercedes-Benz,300-Class,1991,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,617,2179,18.5
174,Mercedes-Benz,300-Class,1991,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2000,26.5
175,Mercedes-Benz,300-Class,1992,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2000,26.0
176,Mercedes-Benz,300-Class,1992,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,617,2377,15.5
177,Mercedes-Benz,300-Class,1992,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,617,3814,18.0
178,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,617,2207,17.0
179,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Wagon,617,2000,17.5
180,Mercedes-Benz,300-Class,1992,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,617,2248,18.0
181,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2065,19.0
182,Mercedes-Benz,300-Class,1992,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,617,2547,20.0
183,Mercedes-Benz,300-Class,1992,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,617,2282,16.5
184,Mercedes-Benz,300-Class,1992,regular unleaded,158,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2000,20.5
185,Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Wagon,617,2544,17.0
186,Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,2,Midsize,Coupe,617,2397,19.5
187,Mercedes-Benz,300-Class,1993,diesel,121,5,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2000,26.5
188,Mercedes-Benz,300-Class,1993,regular unleaded,228,6,MANUAL,rear wheel drive,2,Compact,Convertible,617,4174,17.5
189,Mercedes-Benz,300-Class,1993,regular unleaded,217,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2187,19.5
190,Mercedes-Benz,300-Class,1993,diesel,148,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,617,2729,20.0
191,Mercedes-Benz,300-Class,1993,regular unleaded,177,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,617,2433,17.0
192,Mercedes-Benz,300-Class,1993,regular unleaded,194,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,617,2247,20.0
193,Mercedes-Benz,300-Class,1993,regular unleaded,228,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,617,2540,16.0
194,Mitsubishi,3000GT,1997,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,436,3941,20.0
195,Mitsubishi,3000GT,1997,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,436,3295,19.5
196,Mitsubishi,3000GT,1997,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,436,6008,19.0
197,Mitsubishi,3000GT,1998,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,436,6710,19.0
198,Mitsubishi,3000GT,1998,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,436,3701,19.5
199,Mitsubishi,3000GT,1998,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,436,4671,20.0
200,Mitsubishi,3000GT,1999,regular unleaded,218,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,436,5306,20.0
201,Mitsubishi,3000GT,1999,regular unleaded,320,6,MANUAL,all wheel drive,2,Compact,2dr Hatchback,436,7600,19.0
202,Mitsubishi,3000GT,1999,regular unleaded,161,6,MANUAL,front wheel drive,2,Compact,2dr Hatchback,436,4090,19.5
203,Chrysler,300,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,37570,22.5
204,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,31695,25.0
205,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,38070,25.0
206,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,44895,22.5
207,Chrysler,300,2015,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,35070,25.0
208,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,42395,25.0
209,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,34195,22.5
210,Chrysler,300,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,40570,22.5
211,Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,38095,22.5
212,Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,35595,25.0
213,Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,45190,22.5
214,Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,32260,25.0
215,Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,37755,22.5
216,Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,1013,41055,22.5
217,Chrysler,300,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,36090,25.0
218,Chrysler,300,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,1013,42690,25.0
